sno,present,custom_number,name,author,publisher,publishing_year,price,categories,
48,,48,பொன்னியின் செல்வன் - 9,கல்கி,சாருப்ரபா பப்ளிகேசன்ஸ்,2005,15.00,வரலாற்று நாவல்,
49,,49,பொன்னியின் செல்வன் - 10,கல்கி,சாருப்ரபா பப்ளிகேசன்ஸ்,2004,15.00,வரலாற்று நாவல்,
50,,50,பொன்னியின் செல்வன் - 11,கல்கி,சாருப்ரபா பப்ளிகேசன்ஸ்,2004,12.00,வரலாற்று நாவல்,
51,,51,மோகினித் தீவு,கல்கி,வானதி பதிப்பகம்,2001,20.00,வரலாற்று நாவல்,
52,,52,மோகினித் தீவு,கல்கி,சாரதா பதிப்பகம்,2008,30.00,வரலாற்று நாவல்,
55,,55,பொன்னியின் செல்வன் - 3,கல்கி,சாரதா பதிப்பகம்,2011,650.00,வரலாற்று நாவல்,
56,,56,பொன்னியின் செல்வன் - 4,கல்கி,சாரதா பதிப்பகம்,2011,650.00,வரலாற்று நாவல்,
57,,57,பொன்னியின் செல்வன் - 5,கல்கி,சாரதா பதிப்பகம்,2011,650.00,வரலாற்று நாவல்,
58,,58,பொன்னியின் செல்வன் - 1,கல்கி,திருமகள் நிலையம்,2011,,வரலாற்று நாவல்,
59,,59,பொன்னியின் செல்வன் - 2,கல்கி,திருமகள் நிலையம்,2011,70.00,வரலாற்று நாவல்,
60,,60,பொன்னியின் செல்வன் - 3,கல்கி,திருமகள் நிலையம்,2011,68.00,வரலாற்று நாவல்,
62,,62,பொன்னியின் செல்வன் - 5,கல்கி,திருமகள் நிலையம்,2011,,வரலாற்று நாவல்,
63,,63,சோலைமலை இளவரசி,கல்கி ,சாரதா பதிப்பகம்,2000,30.00,வரலாற்று நாவல்,
64,,64,ரவி குல திலகன்,கல்கி ராஜேந்திரன்,வானதி பதிப்பகம்,2007,125.00,வரலாற்று நாவல்,
66,,66,மதுரவல்லி ,கலாப்ரியா,திருவரசு புத்தகநிலையம்,2006,60.00,வரலாற்று நாவல்,
67,,67,பொக்கிஷ வேட்டை,கலாப்ரியா ,திருவரசு புத்தகநிலையம்,2004,40.00,வரலாற்று நாவல்,
68,,68,தென்பாண்டிச் சிங்கம்,கலைஞர் மு.கருணாநிதி,திருவரசு புத்தகநிலையம்,1996,75.00,வரலாற்று நாவல்,
69,,69,பாயும்புலி பாண்டாரக வன்னியன் ,கலைஞர் மு.கருணாநிதி,ராக்ஃபோர்ட் பதிப்பகம்,1991,125.00,வரலாற்று நாவல்,
70,,70,ரோமாபுரி பாண்டியன்,கலைஞர் மு.கருணாநிதி,பாரதி பதிப்பகம்,2007,300.00,வரலாற்று நாவல்,
72,,72,பாண்டியர் வரலாறு (மீண்டெழும்),கு.செந்தில்மள்ளர்,தமிழ் பண்பாடு ஆய்வு நிலையம்,2012,1500.00,வரலாற்று நாவல்,
73,,73,பாண்டியகுமாரன்,குரும்பூர்.குப்புசாமி,மூவர் நிலையம்,2001,65.00,வரலாற்று நாவல்,
74,,74,விலாசினி,கைலாசம்,வானதி பதிப்பகம்,2014,165.00,வரலாற்று நாவல்,
75,,75,வேலுநாச்சியார்,கே.ஜீவபாரதி,குமரன் பதிப்பகம்,2007,90.00,வரலாற்று நாவல்,
76,,76,தமிழக வரலாறு வரிசை- 10  தாய்நில வரலாறு ,கோ.தங்கவேலு,அமிழ்தம் பதிப்பகம்,2008,195.00,வரலாற்று நாவல்,
77,,77,"தமிழக வரலாறு வரிசை- 11
தமிழக சமூக பண்பாட்டு வரலாறு",கோ.தங்கவேலு,அமிழ்தம் பதிப்பகம்,2008,290.00,வரலாற்று நாவல்,
78,,78,"தமிழக வரலாறு வரிசை- 12
தமிழக சமூக பண்பாட்டு வரலாறு",கோ.தங்கவேலு,அமிழ்தம் பதிப்பகம்,2008,275.00,வரலாற்று நாவல்,
79,,79,தமிழக வரலாறு வரிசை- 9    தாய்நில வரலாறு -1,கோ.தங்கவேலு,அமிழ்தம் பதிப்பகம்,2008,180.00,வரலாற்று நாவல்,
80,,80,சேரன் குலக்கொடி,கோ.வி.மணிசேகரன்,பூம்புகார் பதிப்பகம் ,2012,425.00,வரலாற்று நாவல்,
83,,83,அஜாத சத்ரு ,கோவி மணிசேகரன்,வானதி பதிப்பகம்,1993,45.00,வரலாற்று நாவல்,
84,,84,குற்றால குறிஞ்சி,டாக்டர்.கோ.வி.மணிசேகரன்,வானதி பதிப்பகம்,1994,48.00,வரலாற்று நாவல்,
85,,85,சுதந்திர பூமியில் வெள்ளை நாரைகள்- 1,கோவி மணிசேகரன்,வானதி பதிப்பகம்,1986,,வரலாற்று நாவல்,
86,,86,சுதந்திர பூமியில் வெள்ளை நாரைகள்- 2,கோவி மணிசேகரன்,வானதி பதிப்பகம்,1986,30.00,வரலாற்று நாவல்,
87,,87,சந்திரோதயம் ,கோவி மணிசேகரன்,பூம்புகார் பதிப்பகம் ,2009,290.00,வரலாற்று நாவல்,
88,,88,சரித்திரக் கதைகள் - 3,கோவி மணிசேகரன்,தேவி பிரசுரம்,2007,100.00,வரலாற்று நாவல்,
89,,89,தேவதேவி,கோவி மணிசேகரன்,வள்ளுவர் பண்ணை,1997,45.00,வரலாற்று நாவல்,
90,,90,நந்திவர்மன் ,கோவி மணிசேகரன்,பூம்புகார் பதிப்பகம் ,2010,375.00,வரலாற்று நாவல்,
91,,91,ராஜ கர்ஜணை,கோவி மணிசேகரன்,திருமகள் நிலையம்,1990,35.00,வரலாற்று நாவல்,
92,,92,ராஜமோகினி,கோவி மணிசேகரன்,வள்ளுவர் பண்ணை,1985,,வரலாற்று நாவல்,
93,,93,ராஜராகம் ,கோவி மணிசேகரன்,பூம்புகார் பதிப்பகம் ,2009,265.00,வரலாற்று நாவல்,
94,,94,ராஜதரங்கிணி,கோவி மணிசேகரன்,வானதி பதிப்பகம்,1990,14.00,வரலாற்று நாவல்,
95,,95,வராக நதிக்கரையில்,கோவி மணிசேகரன்,கங்கை புத்தகநிலையம்,1999,38.00,வரலாற்று நாவல்,
96,,96,ராஜா கங்கணம்,கௌதம நீலாம்பரன்,வானதி பதிப்பகம்,1988,18.00,வரலாற்று நாவல்,
97,,97,ஈழவேந்தன் சங்கிலி,கௌதம நீலாம்பரன்,சாரதா பதிப்பகம்,2000,50.00,வரலாற்று நாவல்,
