sno,present,custom_number,name,author,publisher,publishing_year,price,categories,
834,,834,ஒருத்தி நினைக்கையிலே,சுஜாதா,பாரதி பதிப்பகம்,1992,24.00,சமூக நாவல்,
835,,835,ஓலைப் பட்டாசு,சுஜாதா,விசா பப்ளிகேசன்,2014,75.00,சமூக நாவல்,
836,,836,ஓடாதே ,சுஜாதா,விசா பப்ளிகேசன்,2004,60.00,சமூக நாவல்,
838,,838,கடவுள் வந்திருந்தார்,சுஜாதா,விசா பப்ளிகேசன்,2008,35.00,சமூக நாவல்,
839,,839,கடவுள்களின் பள்ளத்தாக்கு,சுஜாதா,உயிர்மை பதிப்பகம்,2008,120.00,சமூக நாவல்,
840,,840,கம்ப்யூட்டரே ஒரு கதை சொல்லு,சுஜாதா,விசா பப்ளிகேசன்,2002,52.00,சமூக நாவல்,
841,,841,கம்ப்யூட்டர் கிராமம் ,சுஜாதா,விசா பப்ளிகேசன்,2012,70.00,சமூக நாவல்,
842,,842,கருப்புக் குதிரை,சுஜாதா,விசா பப்ளிகேசன்,2003,44.00,சமூக நாவல்,
843,,843,கரையெல்லாம் செண்பகப்பூ ,சுஜாதா ,விசா பப்ளிகேசன்,2002,56.00,சமூக நாவல்,
844,,844,கற்றதும் பெற்றதும் பாகம்- 2,சுஜாதா,விகடன் பிரசுரம்,2004,80.00,சமூக நாவல்,
845,,845,கற்றதும் பெற்றதும் பாகம்- 3,சுஜாதா,விகடன் பிரசுரம்,2007,100.00,சமூக நாவல்,
847,,847,காயத்ரி,சுஜாதா,விசா பப்ளிகேசன்,2010,45.00,சமூக நாவல்,
848,,848,குருப்பிரசாத்தின் கடைசி தினம் ,சுஜாதா,விசா பப்ளிகேசன்,2009,55.00,சமூக நாவல்,
849,,849,கொலை அரங்கம்,சுஜாதா,விசா பப்ளிகேசன்,2007,55.00,சமூக நாவல்,
850,,850,கொலையுதிர் காலம்,சுஜாதா ,உயிர்மை பதிப்பகம்,2007,160.00,சமூக நாவல்,
851,,851,கமிஷனருக்குக் கடிதம்,சுஜாதா ,விசா பப்ளிகேசன்,2006,70.00,சமூக நாவல்,
853,,853,சுஜாதாவைக் கேளுங்கள்,சுஜாதா,குமுதம் பதிப்பகம்,2009,75.00,கட்டுரைகள்,
854,,854,தங்க முடிச்சு ,சுஜாதா,விசா பப்ளிகேசன்,2009,60.00,சமூக நாவல்,
855,,855,தீண்டும் இன்பம் ,சுஜாதா,விசா பப்ளிகேசன்,2000,56.00,சமூக நாவல்,
856,,856,தோரணத்து மாவிலைகள்,சுஜாதா,விசா பப்ளிகேசன்,2007,75.00,சமூக நாவல்,
857,,857,நிர்வாண நகரம்,சுஜாதா ,விசா பப்ளிகேசன்,2009,60.00,சமூக நாவல்,
858,,858,"நில். கவனி, தாக்கு",சுஜாதா ,விசா பப்ளிகேசன்,2002,32.00,சமூக நாவல்,
861,,861,நைலான் கயிறு ,சுஜாதா,விசா பப்ளிகேசன்,2000,36.00,சமூக நாவல்,
862,,862,பதவிக்காக,சுஜாதா ,உயிர்மை பதிப்பகம்,2003,200.00,சமூக நாவல்,
863,,863,பத்து செகண்ட் முத்தம்,சுஜாதா,விசா பப்ளிகேசன்,2007,50.00,சமூக நாவல்,
864,,864,பாதி ராஜ்யம்,சுஜாதா,விசா பப்ளிகேசன்,2008,65.00,சமூக நாவல்,
865,,865,பிரியா,சுஜாதா,விசா பப்ளிகேசன்,2001,68.00,சமூக நாவல்,
866,,866,பிரிவோம் சந்திப்போம் - 1,சுஜாதா,விசா பப்ளிகேசன்,2000,45.00,சமூக நாவல்,
867,,867,பிரிவோம் சந்திப்போம் - 2,சுஜாதா,விசா பப்ளிகேசன்,2000,66.00,சமூக நாவல்,
868,,868,பூக்குட்டி ,சுஜாதா,விசா பப்ளிகேசன்,2007,38.00,சமூக நாவல்,
869,,869,பேசும் பொம்மைகள்,சுஜாதா ,உயிர்மை பதிப்பகம்,2004,125.00,சமூக நாவல்,
870,,870,மர்மக் கதைகள்,சுஜாதா ,உயிர்மை பதிப்பகம்,2005,180.00,சமூக நாவல்,
872,,872,மறுபடியும் கணேஷ் ,சுஜாதா,விசா பப்ளிகேசன்,2000,45.00,சமூக நாவல்,
873,,873,மாயா,சுஜாதா,விசா பப்ளிகேசன்,2010,45.00,சமூக நாவல்,
874,,874,மாயா,சுஜாதா,விசா பப்ளிகேசன்,2004,32.00,சமூக நாவல்,
875,,875,மாயா ,சுஜாதா,விசா பப்ளிகேசன்,2001,32.00,சமூக நாவல்,
876,,876,மிஸ் தமிழ்த் தாயே நமஸ்காரம் ,சுஜாதா ,விசா பப்ளிகேசன்,1994,22.00,சமூக நாவல்,
877,,877,மீண்டும் ஜீனோ,சுஜாதா,விசா பப்ளிகேசன்,2009,115.00,சமூக நாவல்,
878,,878,மீண்டும் ஜீனோ,சுஜாதா,விசா பப்ளிகேசன்,2002,85.00,சமூக நாவல்,
880,,880,மூன்று குற்றங்கள்,சுஜாதா ,விசா பப்ளிகேசன்,2006,112.00,சமூக நாவல்,
881,,881,மூன்று நாள் சொர்க்கம்,சுஜாதா,விசா பப்ளிகேசன்,2006,55.00,சமூக நாவல்,
883,,883,வஸந்த காலக் குற்றங்கள் ,சுஜாதா,விசா பப்ளிகேசன்,1998,40.00,சமூக நாவல்,
884,,884,வாய்மையே சிலசமயம் வெல்லும்,சுஜாதா,விசா பப்ளிகேசன்,2009,80.00,சமூக நாவல்,
885,,885,வானத்தில் ஒரு மௌனத்தாரகை ,சுஜாதா,விசா பப்ளிகேசன்,2008,40.00,சமூக நாவல்,
887,,887,ஜன்னல் மலர்,சுஜாதா,விசா பப்ளிகேசன்,2012,75.00,சமூக நாவல்,
888,,888,ஜன்னல் மலர்,சுஜாதா ,விசா பப்ளிகேசன்,1997,28.00,சமூக நாவல்,
889,,889,ஜோதி,சுஜாதா ,கிழக்கு பதிப்பகம்,2010,30.00,சமூக நாவல்,
890,,890,ஸ்ரீரங்கத்துக் கதைகள்,சுஜாதா,உயிர்மை பதிப்பகம்,2003,175.00,சிறுகதைகள்,
891,,891,செள்ளு,செல்வராஜ்,பாரதி பதிப்பகம்,2012,60.00,சிறுகதைகள்,
892,,892,நான்கில் ஒன்று,சேனையின் மாதவன்,குமரன் பதிப்பகம்,1998,30.00,சமூக நாவல்,
893,,893,மரியாதையாக வீட்டுக்குப் போங்கள் மகாராஜாவே,சொக்கன்,கிழக்கு பதிப்பகம்,2006,90.00,வரலாறு,
894,,894,கொரில்லா,சோபா சக்தி ,அடையாளம்,2002,75.00,சமூக நாவல்,
896,,896,செய்திகளுக்கு அப்பால்,சோலை ,தணல் பதிப்பகம்,2005,60.00,கட்டுரைகள்,
897,,897,"ஆடும், மாடும்",டி.கே.ஸ்ரீனிவாசன்,டி.கே.என்.சரஸ்வதி,1971,5.00,சமூக நாவல்,
899,,899,செல்வத் திறவுகோல்,தம்மண்ண செட்டியார்,நர்மதா பதிப்பகம்,2003,30.00,ஆன்மீகம்,
900,,900,"சன்மார்க்க யோகம், தியான முறைகள் ",தம்மண்ண செட்டியார்,நர்மதா பதிப்பகம்,2000,35.00,ஆன்மீகம்,
901,,901,மனோவசியம் என்னும் மனோசக்தியின் இரகசியங்கள்,தம்மண்ண செட்டியார்,நர்மதா பதிப்பகம்,2001,30.00,ஆன்மீகம்,
902,,902,பிச்சைக்காரர்கள்,தகழி சிவசங்கரப்பிள்ளை ,சாருபிரபா பப்ளிகேஷன்,,50.00,மொழிபெயர்ப்பு,
903,,903,கரையோரப் பூவே,தஞ்சை செல்வன்,மணிமேகலை பதிப்பகம்,1995,70.00,சமூக நாவல்,
904,,904,காதல் + காமம் = கடவுள்,தம்மண்ண செட்டியார்,நர்மதா பதிப்பகம்,2005,60.00,ஆன்மீகம்,
906,,906,153,தமிழ்வாணன்,மணிமேகலை பதிப்பகம்,,,சமூக நாவல்,
907,,907,என்னுடன் பறந்து வா ,தமிழ்வாணன்,மணிமேகலை பதிப்பகம்,,,சமூக நாவல்,
908,,908,கடலில் தெரிந்த கை,தமிழ்வாணன்,மணிமேகலை பதிப்பகம்,1984,19.00,சமூக நாவல்,
909,,909,கதவு திறந்தது கை தெரிந்தது ,தமிழ்வாணன்,மணிமேகலை பதிப்பகம்,1984,20.75,சமூக நாவல்,
910,,910,கவிழ்ந்த கப்பல் ,தமிழ்வாணன்,மணிமேகலை பதிப்பகம்,1984,9.00,சமூக நாவல்,
912,,912,பிடி - 22,தமிழ்வாணன்,மணிமேகலை பதிப்பகம்,1983,11.00,சமூக நாவல்,
913,,913,மர்மத் தீவு ,தமிழ்வாணன்,தெய்ன்றல் பதிப்பகம்,1983,7.00,சமூக நாவல்,
914,,914,மறைந்த நகரம்,தமிழ்வாணன்,மணிமேகலை பதிப்பகம்,1983,10.90,சமூக நாவல்,
915,,915,மூடிக்கிடக்குதே உன் நெஞ்சம் ,தமிழ்வாணன்,மணிமேகலை பதிப்பகம்,1984,18.50,சமூக நாவல்,
917,,917,தோழர்,தனுஷ்கோடி ராமசாமி,பாரதி பதிப்பகம்,2005,130.00,சமூக நாவல்,
918,,918,விடியலை நோக்கி முடிவற்ற பயணம்,தா.ஜெ.பிரபு,மணி ஆப்செட்,2010,250.00,சமூக நாவல்,
919,,919,இடைவெளி,தாமரை மணாளன் ,வானதி பதிப்பகம்,1980,12.50,சமூக நாவல்,
920,,920,திரைக்கு பின்,தார்க் ஷியா,#,,,சிறுகதைகள்,
921,,921,விண் மட்டும் தெய்வமன்று ,தி.சா.ராஜி,வானதி பதிப்பகம்,1983,14.00,சமூக நாவல்,
922,,922,இன்று முதல் ,தேவபாரதி,வெற்றி பதிப்பகம்,,4.50,சமூக நாவல்,
924,,924,சீனுப்பயல்,தேவன்,அல்லயன்ஸ்,2007,80.00,சிறுவர் நூல்கள்,
925,,925,தலைவாழை,தேவாசிகமணி,அன்னம் பதிப்பகம்,1994,110.00,சிறுகதைகள்,
926,,926,ஆசை - ஆசை - ஆசை,தேவிபாலா,கற்பகம் பதிப்பகம்,1994,38.00,சமூக நாவல்,
927,,927,இதயத்தை தொடலாமா,தேவிபாலா,நர்மதா பதிப்பகம்,1996,40.00,சமூக நாவல்,
928,,928,நாளைக்கும் நிலவு வரும்,தேவிபாலா,கங்கை புத்தகநிலையம்,1995,40.00,சமூக நாவல்,
929,,929,நிலவே முகம் காட்டு ,தேவிபாலா,நர்மதா பதிப்பகம்,1997,64.00,சமூக நாவல்,
930,,930,நிழல் விழும் நேரம் ,தேவிபாலா,கங்கை புத்தகநிலையம்,2001,70.00,சமூக நாவல்,
931,,931,நிஜமான நிழல்கள்,தேவிபாலா,கங்கை புத்தகநிலையம்,1995,35.00,சமூக நாவல்,
932,,932,முடிந்துவிட்ட ஆசை,தேவிபாலா,மணிமேகலை பதிப்பகம்,1995,32.00,சமூக நாவல்,
933,,933,கவிதை அரங்கேறும் நேரம்,தேவிபாலா பாலசுப்பிரமணிய,கங்கை புத்தகநிலையம்,2001,40.00,சமூக நாவல்,
934,,934,அன்புக்கு முதுமை இல்லை ,தோப்பில்.முகம்மதுமீரான்,பூங்கொடி பதிப்பகம்,1993,20.00,சமூக நாவல்,
935,,935,சாய்வு நாற்காலி ,தோப்பில்.முகம்மதுமீரான்,பூங்கொடி பதிப்பகம்,1998,80.00,சமூக நாவல்,
936,,936,அணிலாடும் முன்றில்,நா.முத்துக்குமார்,விகடன் பிரசுரம்,2011,85.00,சமூக நாவல்,
938,,938,குறிஞ்சி மலர்,நா.பார்த்தசாரதி,திருமகள் நிலையம்,2009,115.00,சமூக நாவல்,
939,,939,சாயங்கால மேகங்கள் ,நா.பார்த்தசாரதி,பூம்புகார் பதிப்பகம்,2010,79.00,சமூக நாவல்,
940,,940,பொன்விலங்கு ,நா.பார்த்தசாரதி,கௌரா பதிப்பகம்,2007,200.00,சமூக நாவல்,
941,,941,நதியின் பிழையன்று நறும்புனல்  இன்மை ,நாஞ்சில் நாடன்,தமிழினி பதிப்பகம்,2009,200.00,கட்டுரைகள்,
942,,942,இதயதாகம்,நாதன்,குமரன் பதிப்பகம்,2001,50.00,சமூக நாவல்,
943,,943,தரங்கிணி,நாரண துரைக்கண்ணன் ,#,,,சமூக நாவல்,
944,,944,நினைவுகள் அழிவதில்லை ,நிரஞ்சனா,சிந்தன் புக்ஸ்,2008,100.00,சமூக நாவல்,
945,,945,வட்டத்தின் வெளியே ..,நீல.பத்மநாபன்,நர்மதா பதிப்பகம்,1980,11.00,சமூக நாவல்,
946,,946,அன்புச்செல்வி,நெல்லைச்செல்வம்,செல்லப்பாப்பா பதிப்பகம்,2002,30.00,சிறுவர் நூல்கள்,
948,,948,புத்திமுனைக் குற்றம் புத்திமுனை வித்தை,பட்டுக்கோட்டை பிரபாகரன்,பூம்புகார் பதிப்பகம்,2002,35.00,சமூக நாவல்,
949,,949,அறியும் பருவம்,பட்டுக்கோட்டை பிரபாகரன்,பூம்புகார் பதிப்பகம்,2005,50.00,சமூக நாவல்,
950,,950,அன்புள்ள… இப்படிக்கு,பட்டுக்கோட்டை பிரபாகரன்,பூம்புகார் பதிப்பகம்,2005,35.00,சமூக நாவல்,
951,,951,ஆகாயத்தில் ஆரம்பம் ,பட்டுக்கோட்டை பிரபாகரன்,பூம்புகார் பதிப்பகம்,1999,30.00,சமூக நாவல்,
952,,952,ஆகாயத்தில் ஆரம்பம் ,பட்டுக்கோட்டை பிரபாகரன்,பூம்புகார் பதிப்பகம்,1999,30.00,சமூக நாவல்,
954,,954,இமைக்காத இரவு,பட்டுக்கோட்டை பிரபாகரன்,பூம்புகார் பதிப்பகம்,1999,45.00,சமூக நாவல்,
956,,956,ஒரு வானம் பல பறவைகள் ,பட்டுக்கோட்டை பிரபாகரன்,பூம்புகார் பதிப்பகம்,2002,38.50,சமூக நாவல்,
957,,957,கனவுப் புதையல்,பட்டுக்கோட்டை பிரபாகரன்,பூம்புகார் பதிப்பகம்,2001,55.00,சமூக நாவல்,
958,,958,கனவுகள் ஆயிரம்,பட்டுக்கோட்டை பிரபாகரன்,தமிழன் நிலையம்,2004,50.00,சமூக நாவல்,
959,,959,கொஞ்சம் காதல் வேண்டும் ,பட்டுக்கோட்டை பிரபாகரன்,பூம்புகார் பதிப்பகம்,1999,40.00,சமூக நாவல்,
960,,960,தொட்டால் தொடரும்,பட்டுக்கோட்டை பிரபாகரன்,பூம்புகார் பதிப்பகம்,2002,65.00,சமூக நாவல்,
961,,961,நான் உன்னை சுவாசிக்கிறேன்,பட்டுக்கோட்டை பிரபாகரன்,பூம்புகார் பதிப்பகம்,1999,47.50,சமூக நாவல்,
963,,963,நீ மட்டும் நிழலோடு ,பட்டுக்கோட்டை பிரபாகரன்,பூம்புகார் பதிப்பகம்,2002,56.00,சமூக நாவல்,
964,,964,பாலங்கள் ,சிவசங்கரி,வானதி பதிப்பகம்,2000,65.00,சமூக நாவல்,
965,,965,புத்திமுனைக் குற்றம் புத்திமுனை வித்தை,பட்டுக்கோட்டை பிரபாகரன்,பூம்புகார் பதிப்பகம்,2002,35.00,சமூக நாவல்,
966,,966,பூ பூக்கும் ஓசை ,பட்டுக்கோட்டை பிரபாகரன்,பூம்புகார் பதிப்பகம்,2013,200.00,சமூக நாவல்,
967,,967,பென்சில் மீசை,பட்டுக்கோட்டை பிரபாகரன்,பூம்புகார் பதிப்பகம்,2005,50.00,சமூக நாவல்,
968,,968,மதில் மேல் மனசு ,பட்டுக்கோட்டை பிரபாகரன்,பூம்புகார் பதிப்பகம்,2001,62.50,சமூக நாவல்,
969,,969,மன்மதன் வந்தானடி,பட்டுக்கோட்டை பிரபாகரன்,பூம்புகார் பதிப்பகம்,2006,56.00,சமூக நாவல்,
970,,970,குற்றம் மேலும் குற்றம்,பட்டுக்கோட்டை பிரபாகரன்,பூம்புகார் பதிப்பகம்,2002,65.00,சமூக நாவல்,
971,,971,மௌனத்தால் பேசாதே ,பட்டுக்கோட்டை பிரபாகரன்,பூம்புகார் பதிப்பகம்,2001,49.00,சமூக நாவல்,
972,,972,வல்லமை தாராயோ?,பட்டுக்கோட்டை பிரபாகரன்,அலமு நிலையம்,1991,20.00,சமூக நாவல்,
973,,973,வில்லன் என்கிற கதாநாயகன்,பட்டுக்கோட்டை பிரபாகரன்,பூம்புகார் பதிப்பகம்,2002,38.50,சிறுகதைகள்,
975,,975,ஜன்னல் கைதிகள்,பட்டுக்கோட்டை பிரபாகரன்,பூம்புகார் பதிப்பகம்,2005,56.00,சமூக நாவல்,
976,,976,கிராமியக் கதைகள்,கி.ராஜநாராயணன்,அகரம் பதிப்பகம்,2005,70.00,சிறுகதைகள்,
977,,977,இரு புதினங்கள்,பண்ணன் ,பண்ணன் பதிப்பகம்,1999,35.00,சமூக நாவல்,
978,,978,செம்பவளம் ,பண்ணன் ,பண்ணன் பதிப்பகம்,1999,35.00,சமூக நாவல்,
979,,979,நாற்றங்கால் ,பண்ணன் ,பண்ணன் பதிப்பகம்,1999,28.00,சமூக நாவல்,
980,,980,பிராமணன் இங்கே!,பண்ணன்,பண்ணன் பதிப்பகம்,1998,32.00,சமூக நாவல்,
981,,981,ப்ளஸ் - 1,ப்ரியா கல்யாணராமன்,குமுதம் பதிப்பகம்,2008,75.00,சமூக நாவல்,
982,,982,காலம் கிழித்த கோடுகள்,பழ.கருப்பையா ,கற்பகம் பதிப்பகம்,2004,50.00,கட்டுரைகள்,
983,,983,புயலிலே ஒரு தோணி,ப.சிங்காரம்,தமிழினி பதிப்பகம்,2005,180.00,சமூக நாவல்,
984,,984,வெள்ளி மலை,பா.ராகவன்,ராணிமுத்து தொகுப்பு,,,சமூக நாவல்,
985,,985,டாலர் தேசம்,பா.ராகவன்,கிழக்கு பதிப்பகம்,2004,,சமூக நாவல்,
986,,986,கால் கிலோ காதல் அரை கிலோ கனவு,பா.ராகவன்,மதி நிலையம்,2014,80.00,சமூக நாவல்,
987,,987,சௌபர்னிகா,பா.விஜய்,குமரன் பதிப்பகம்,2012,1150.00,சமூக நாவல்,
988,,988,அப்புசாமி படம் எடுக்கிறார் ,பாக்கியம்.ராமசாமி ,பூம்புகார் பதிப்பகம்,2002,56.00,சமூக நாவல்,
989,,989,புத்தர் சிரித்தார் ,பாமரன்,செம்புலம் பதிப்பகம்,2003,25.00,கட்டுரைகள்,
990,,990,கருக்கு,பாமா,பாரதி பதிப்பகம்,2009,35.00,சமூக நாவல்,
992,,992,அப்பம் வடை தயிர்சாதம்,பாலகுமாரன்,விசா பப்ளிகேசன்,2001,95.00,சமூக நாவல்,
993,,993,ஆசை என்னும் வேதம் ,பாலகுமாரன்,விசா பப்ளிகேசன்,2000,70.00,சமூக நாவல்,
994,,994,ஆருயிரே மன்னவரே…,பாலகுமாரன்,விசா பப்ளிகேசன்,2011,110.00,சமூக நாவல்,
995,,995,ஆருயிரே மன்னவரே…,பாலகுமாரன்,நர்மதா பதிப்பகம்,1990,,சமூக நாவல்,
996,,996,ஆலமரம் ,பாலகுமாரன்,விசா பப்ளிகேசன்,2009,85.00,சமூக நாவல்,
997,,997,ஆனந்த வயல் ,பாலகுமாரன்,விசா பப்ளிகேசன்,1999,62.00,சமூக நாவல்,
998,,998,இதுதான் வயசு காதலிக்க,பாலகுமாரன்,விசா பப்ளிகேசன்,2003,68.00,சமூக நாவல்,
1000,,1000,இனிது இனிது காதல் இனிது - 1,பாலகுமாரன்,விசா பப்ளிகேசன்,2002,68.00,சமூக நாவல்,
1002,,1002,இனிய யட்சிணி,பாலகுமாரன்,விசா பப்ளிகேசன்,2000,90.00,சமூக நாவல்,
1003,,1003,உயிர்ச் சுருள்,பாலகுமாரன்,விசா பப்ளிகேசன்,2008,50.00,சமூக நாவல்,
1004,,1004,எட்ட நின்று சுட்ட நிலா ,பாலகுமாரன்,விசா பப்ளிகேசன்,2012,85.00,சமூக நாவல்,
1005,,1005,என் அன்பு காதலா,பாலகுமாரன்,விசா பப்ளிகேசன்,2001,92.00,சமூக நாவல்,
1006,,1006,என்மனது தாமரைப்பூ,பாலகுமாரன்,விசா பப்ளிகேசன்,1994,20.00,சமூக நாவல்,
1007,,1007,என்னுயிரும் நீயல்லவோ,பாலகுமாரன்,விசா பப்ளிகேசன்,2011,205.00,சமூக நாவல்,
1008,,1008,என்னுயிரும் நீயல்லவோ ,பாலகுமாரன்,விசா பப்ளிகேசன்,1997,50.00,சமூக நாவல்,
1010,,1010,ஏழாவது காதல் ,பாலகுமாரன்,விசா பப்ளிகேசன்,2002,64.00,சமூக நாவல்,
1011,,1011,எழில் ,பாலகுமாரன்,விசா பப்ளிகேசன்,2006,85.00,சமூக நாவல்,
1012,,1012,ஒரு காதல் நிவந்தம்,பாலகுமாரன்,விசா பப்ளிகேசன்,2011,110.00,சிறுகதைகள்,
1013,,1013,கடற்பாலம்,பாலகுமாரன்,விசா பப்ளிகேசன்,2000,48.00,சிறுகதைகள்,
1014,,1014,கடலோரக் குருவிகள்,பாலகுமாரன்,விசா பப்ளிகேசன்,2011,85.00,சமூக நாவல்,
1015,,1015,கண்ணாடி கோபுரங்கள்,பாலகுமாரன்,விசா பப்ளிகேசன்,2003,88.00,சமூக நாவல்,
1016,,1016,கண்ணால் கண்ட காதல் கதைகள்,பாலகுமாரன்,விசா பப்ளிகேசன்,2007,75.00,சமூக நாவல்,
1017,,1017,கண்ணே கலைமானே,பாலகுமாரன்,விசா பப்ளிகேசன்,1997,130.00,சமூக நாவல்,
1018,,1018,கண்ணே கலைமானே,பாலகுமாரன்,விசா பப்ளிகேசன்,2006,120.00,சமூக நாவல்,
1019,,1019,கர்ணனின் கதை,பாலகுமாரன்,விசா பப்ளிகேசன்,2011,65.00,சமூக நாவல்,
1020,,1020,கருணை மழை,பாலகுமாரன்,விசா பப்ளிகேசன்,2006,85.00,சமூக நாவல்,
1021,,1021,கரையோர முதலைகள் ,பாலகுமாரன்,விசா பப்ளிகேசன்,1997,57.00,சமூக நாவல்,
1022,,1022,கல்லூரி பூக்கள் ,பாலகுமாரன்,விசா பப்ளிகேசன்,2004,117.00,சமூக நாவல்,
1023,,1023,கற்றுக்கொண்டால் குற்றமில்லை ,பாலகுமாரன்,விசா பப்ளிகேசன்,2011,70.00,கட்டுரைகள்,
1024,,1024,கனவு கண்டேன் தோழி ,பாலகுமாரன்,விசா பப்ளிகேசன்,2011,90.00,சமூக நாவல்,
1025,,1025,கனவுக் குடித்தனம் ,பாலகுமாரன்,விசா பப்ளிகேசன்,1998,65.00,சமூக நாவல்,
1026,,1026,கனவுகள் விற்பவன்,பாலகுமாரன்,விசா பப்ளிகேசன்,2009,130.00,சமூக நாவல்,
1027,,1027,காசும் பிறப்பும்,பாலகுமாரன்,விசா பப்ளிகேசன்,2004,105.00,சமூக நாவல்,
1028,,1028,காதல் சிறகு,பாலகுமாரன்,விசா பப்ளிகேசன்,2003,108.00,சமூக நாவல்,
1030,,1030,காமதேனு,பாலகுமாரன்,விசா பப்ளிகேசன்,2004,65.00,சமூக நாவல்,
1031,,1031,கிருஷ்ண மந்திரம் ,பாலகுமாரன்,திருமகள் நிலையம்,2011,145.00,சமூக நாவல்,
1032,,1032,குரு,பாலகுமாரன்,திருமகள் நிலையம்,2007,65.00,சமூக நாவல்,
1034,,1034,குன்றிமணி,பாலகுமாரன்,விசா பப்ளிகேசன்,2004,60.00,சமூக நாவல்,
1035,,1035,சக்ரவாஹம்,பாலகுமாரன்,விசா பப்ளிகேசன்,2014,110.00,சமூக நாவல்,
1036,,1036,சரிகை வேட்டி,பாலகுமாரன்,விசா பப்ளிகேசன்,1997,43.00,சமூக நாவல்,
1037,,1037,சிம்மாசனம்,பாலகுமாரன்,விசா பப்ளிகேசன்,2009,85.00,சமூக நாவல்,
1038,,1038,சுந்தரி கண்ணால் ஒரு சேதி,பாலகுமாரன்,விசா பப்ளிகேசன்,2011,150.00,சிறுகதைகள்,
1040,,1040,செந்தூர சொந்தம்,பாலகுமாரன்,விசா பப்ளிகேசன்,2009,70.00,சமூக நாவல்,
1041,,1041,செப்பு பட்டயம் ,பாலகுமாரன்,விசா பப்ளிகேசன்,2003,85.00,சமூக நாவல்,
1042,,1042,சொர்க்கம் நடுவிலே ,பாலகுமாரன்,விசா பப்ளிகேசன்,2010,120.00,சமூக நாவல்,
1043,,1043,சொர்க்கம் நடுவிலே ,பாலகுமாரன்,திருமகள் நிலையம்,2012,140.00,சமூக நாவல்,
1044,,1044,தங்க சுருள் ,பாலகுமாரன்,விசா பப்ளிகேசன்,2004,60.00,சமூக நாவல்,
1045,,1045,தலையணை பூக்கள்,பாலகுமாரன்,விசா பப்ளிகேசன்,2012,125.00,சமூக நாவல்,
1046,,1046,திருமணமான என் தோழிக்கு,பாலகுமாரன்,விசா பப்ளிகேசன்,2002,56.00,சமூக நாவல்,
1047,,1047,தொப்புள் கொடி,பாலகுமாரன்,விசா பப்ளிகேசன்,2011,95.00,சமூக நாவல்,
1048,,1048,தோழன்,பாலகுமாரன்,விசா பப்ளிகேசன்,2009,115.00,சமூக நாவல்,
1049,,1049,நானே எனக்கொரு போதிமரம்,பாலகுமாரன்,விசா பப்ளிகேசன்,1993,33.00,சமூக நாவல்,
1050,,1050,நிழல் யுத்தம்,பாலகுமாரன்,விசா பப்ளிகேசன்,2009,85.00,சமூக நாவல்,
1051,,1051,நெல்லுச்சோறு,பாலகுமாரன்,விசா பப்ளிகேசன்,2010,110.00,சமூக நாவல்,
1053,,1053,பச்சை வயல் மனது,பாலகுமாரன்,விசா பப்ளிகேசன்,2011,155.00,சிறுகதைகள்,
1054,,1054,பவழ மல்லி ,பாலகுமாரன்,விசா பப்ளிகேசன்,2010,80.00,சமூக நாவல்,
1055,,1055,பழமுதிர் குன்றம் ,பாலகுமாரன்,விசா பப்ளிகேசன்,2008,75.00,சமூக நாவல்,
1056,,1056,பிரஹலாதன் ,பாலகுமாரன்,விசா பப்ளிகேசன்,2013,85.00,சமூக நாவல்,
1057,,1057,புருஷ வதம் ,பாலகுமாரன்,விசா பப்ளிகேசன்,2011,100.00,சமூக நாவல்,
1058,,1058,பொய் மான் ,பாலகுமாரன்,விசா பப்ளிகேசன்,2009,32.00,சமூக நாவல்,
1059,,1059,மண்ணில் தெரியுதுவானம்,பாலகுமாரன்,விசா பப்ளிகேசன்,2011,155.00,சமூக நாவல்,
1060,,1060,மணல் நதி,பாலகுமாரன்,விசா பப்ளிகேசன்,2013,75.00,சமூக நாவல்,
1061,,1061,மணல் நதி ,பாலகுமாரன்,விசா பப்ளிகேசன்,2009,55.00,சமூக நாவல்,
1062,,1062,மனக்கோயில் ,பாலகுமாரன்,விசா பப்ளிகேசன்,2012,160.00,சமூக நாவல்,
1065,,1065,மீட்டாத வீணை,பாலகுமாரன்,திருமகள் நிலையம்,2009,75.00,சமூக நாவல்,
1066,,1066,மௌனமே காதலாக ,பாலகுமாரன்,விசா பப்ளிகேசன்,2000,72.00,சமூக நாவல்,
1067,,1067,மௌனமே காதலாய்,பாலகுமாரன்,விசா பப்ளிகேசன்,2009,105.00,சமூக நாவல்,
1069,,1069,ரகசிய சிநேகிதியே ,பாலகுமாரன்,விசா பப்ளிகேசன்,2001,86.00,சமூக நாவல்,
1070,,1070,வன்னிமரத்தாலி,பாலகுமாரன்,விசா பப்ளிகேசன்,2009,75.00,சமூக நாவல்,
1071,,1071,வில்வமரம்,பாலகுமாரன்,விசா பப்ளிகேசன்,2011,55.00,சமூக நாவல்,
1072,,1072,வெள்ளைத்தாமரை,பாலகுமாரன்,விசா பப்ளிகேசன்,2008,110.00,சமூக நாவல்,
1074,,1074,சிநேகமுள்ள சிங்கம்,பாலகுமாரன்,விசா பப்ளிகேசன்,2012,130.00,சமூக நாவல்,
1076,,1076,வில்லாதி வில்லன் ,பாலாஜெயராமன் ,கிழக்கு பதிப்பகம்,2011,125.00,வாழ்க்கை வரலாறு,
